100
00:00 14.7
00:14 11.6
00:28 12.9
00:42 12.6
00:56 15.2
01:10 15.5
01:24 16.5
01:38 12.5
01:52 14.2
02:06 12.8
02:20 13.7
02:34 15.2
02:48 12.8
03:02 14.2
03:16 16.5
03:30 15.9
03:44 14.3
03:58 16.2
04:12 17.8
04:26 13.8
04:40 17.8
04:54 17.3
05:08 16.1
05:22 15.1
05:36 19.1
05:50 16.0
06:04 15.4
06:18 15.4
06:32 19.2
06:46 17.9
07:00 19.5
07:14 19.1
07:28 18.2
07:42 20.4
07:56 17.4
08:10 18.8
08:24 20.2
08:38 19.2
08:52 20.4
09:06 19.5
09:20 20.2
09:34 16.9
09:48 17.8
10:02 18.7
10:16 17.6
10:30 18.4
10:44 17.7
10:58 18.6
11:12 21.0
11:26 19.6
11:40 19.6
11:54 18.8
12:08 19.7
12:22 23.0
12:36 21.6
12:50 21.4
13:04 19.8
13:18 22.6
13:32 19.7
13:46 20.8
14:00 24.4
14:14 22.7
14:28 22.3
14:42 22.9
14:56 23.7
15:10 22.8
15:24 20.1
15:38 19.1
15:52 20.5
16:06 19.7
16:20 19.4
16:34 23.1
16:48 22.7
17:02 19.4
17:16 21.1
17:30 19.8
17:44 22.4
17:58 20.1
18:12 18.5
18:26 18.4
18:40 20.0
18:54 18.5
19:08 19.6
19:22 21.1
19:36 18.6
19:50 17.7
20:04 21.1
20:18 18.6
20:32 16.5
20:46 16.3
21:00 16.0
21:14 18.6
21:28 19.5
21:42 17.6
21:56 15.8
22:10 16.8
22:24 19.9
22:38 17.6
22:52 19.8
23:06 18.7
